ID;Name;Designator;Footprint;Quantity;Manufacturer Part;Manufacturer;Supplier;Supplier Part
1;5K;R12;RES_ADJ-3.6X3.8;1;VG039NCHXTB502;Hokuriku Elec Industry;LCSC;C128557
2;470;R1,R2,R3,R8,R9,R10;2010;6;2010W2J0471T4S;UniOhm;LCSC;C20427
3;1K;R4,R5,R6;2010;3;2010W2J0102T4S;UniOhm;LCSC;C20371
4;200;R13,R14;RES-ADJ_VG039;2;VG039NCHXTB201;HDK;LCSC;C128548
5;1M;R11;2010;1;2010W2J0105T4S;UniOhm;LCSC;C20377
6;MTP125-1103S1;U4;SDIP-D-3_2.54;1;MTP125-1103S1;MINTRON;LCSC;C358685
7;C128_VIDEO_DIN_8;U2;C128_VIDEO_DIN_8;1;;;DET;
8;C128_RGBi_D_SUB_9;U1;C128_RGBI_D_SUB_9;1;;;DET;
9;C128_SCART_OUT_1;U3;C128_SCART_OUT_1;1;;;DET;
10;SSSU022800;SW2;SW-DIP-18.5X7;1;SSSU022800;ALPS Electric;LCSC;C160887
11;BS170FTA;Q2;SOT-23(SOT-23-3);1;BS170FTA;DIODES;LCSC;C151050
12;SSSU042100;SW1;SW-TH_12PIN_SSSU042100;1;SSSU042100;ALPS Electric;LCSC;C384610
13;100;R7;2010;1;2010W2J0101T4E;UniOhm;LCSC;C54728
